,name,type,value,date
14072,Noah,9,0,1984-12-17
16724,Cash,10,0,1984-12-17
11931,Mcenroe,1,0,1984-12-24
11596,Connors,2,0,1984-12-24
12286,Lendl,3,0,1984-12-24
14238,Wilander,4,0,1984-12-24
14637,Gomez,5,0,1984-12-24
16636,Jarryd,6,0,1984-12-24
16603,Sundstrom,7,0,1984-12-24
16509,Teltscher,8,0,1984-12-24
14073,Noah,9,0,1984-12-24
16725,Cash,10,0,1984-12-24
11932,Mcenroe,1,0,1985-01-02
11597,Connors,2,0,1985-01-02
12287,Lendl,3,0,1985-01-02
14239,Wilander,4,0,1985-01-02
14638,Gomez,5,0,1985-01-02
16637,Jarryd,6,0,1985-01-02
16604,Sundstrom,7,0,1985-01-02
16726,Cash,8,0,1985-01-02
16510,Teltscher,9,0,1985-01-02
14074,Noah,10,0,1985-01-02
11933,Mcenroe,1,0,1985-01-14
11598,Connors,2,0,1985-01-14
12288,Lendl,3,0,1985-01-14
14240,Wilander,4,0,1985-01-14
14639,Gomez,5,0,1985-01-14
16638,Jarryd,6,0,1985-01-14
16605,Sundstrom,7,0,1985-01-14
16727,Cash,8,0,1985-01-14
16511,Teltscher,9,0,1985-01-14
14075,Noah,10,0,1985-01-14
11934,Mcenroe,1,0,1985-01-28
11599,Connors,2,0,1985-01-28
12289,Lendl,3,0,1985-01-28
14241,Wilander,4,0,1985-01-28
14640,Gomez,5,0,1985-01-28
16606,Sundstrom,6,0,1985-01-28
16639,Jarryd,7,0,1985-01-28
16728,Cash,8,0,1985-01-28
13983,Krickstein,9,0,1985-01-28
16512,Teltscher,10,0,1985-01-28
11935,Mcenroe,1,0,1985-02-04
11600,Connors,2,0,1985-02-04
12290,Lendl,3,0,1985-02-04
14242,Wilander,4,0,1985-02-04
14641,Gomez,5,0,1985-02-04
16607,Sundstrom,6,0,1985-02-04
16640,Jarryd,7,0,1985-02-04
14076,Noah,8,0,1985-02-04
16729,Cash,9,0,1985-02-04
13984,Krickstein,10,0,1985-02-04
11936,Mcenroe,1,0,1985-02-18
12291,Lendl,2,0,1985-02-18
11601,Connors,3,0,1985-02-18
14243,Wilander,4,0,1985-02-18
14642,Gomez,5,0,1985-02-18
16608,Sundstrom,6,0,1985-02-18
16641,Jarryd,7,0,1985-02-18
16730,Cash,8,0,1985-02-18
13294,Edberg,9,0,1985-02-18
13985,Krickstein,10,0,1985-02-18
11937,Mcenroe,1,0,1985-02-25
12292,Lendl,2,0,1985-02-25
11602,Connors,3,0,1985-02-25
14244,Wilander,4,0,1985-02-25
14643,Gomez,5,0,1985-02-25
16642,Jarryd,6,0,1985-02-25
16609,Sundstrom,7,0,1985-02-25
16731,Cash,8,0,1985-02-25
13295,Edberg,9,0,1985-02-25
13986,Krickstein,10,0,1985-02-25
11938,Mcenroe,1,0,1985-03-04
12293,Lendl,2,0,1985-03-04
11603,Connors,3,0,1985-03-04
14245,Wilander,4,0,1985-03-04
14644,Gomez,5,0,1985-03-04
16643,Jarryd,6,0,1985-03-04
16610,Sundstrom,7,0,1985-03-04
16538,Curren,8,0,1985-03-04
16732,Cash,9,0,1985-03-04
13296,Edberg,10,0,1985-03-04
11939,Mcenroe,1,0,1985-03-18
11604,Connors,2,0,1985-03-18
12294,Lendl,3,0,1985-03-18
14246,Wilander,4,0,1985-03-18
14645,Gomez,5,0,1985-03-18
16644,Jarryd,6,0,1985-03-18
16611,Sundstrom,7,0,1985-03-18
16733,Cash,8,0,1985-03-18
16539,Curren,9,0,1985-03-18
13987,Krickstein,10,0,1985-03-18
11940,Mcenroe,1,0,1985-03-25
11605,Connors,2,0,1985-03-25
12295,Lendl,3,0,1985-03-25
14247,Wilander,4,0,1985-03-25
14646,Gomez,5,0,1985-03-25
16645,Jarryd,6,0,1985-03-25
16734,Cash,7,0,1985-03-25
16612,Sundstrom,8,0,1985-03-25
16540,Curren,9,0,1985-03-25
13988,Krickstein,10,0,1985-03-25
11941,Mcenroe,1,0,1985-04-01
11606,Connors,2,0,1985-04-01
