name,type,value,date
Stich,9,2380,1994-11-28
Martin,10,2307,1994-11-28
Sampras,1,5097,1994-12-12
Agassi,2,3249,1994-12-12
Becker,3,3237,1994-12-12
Bruguera,4,3007,1994-12-12
Ivanisevic,5,2936,1994-12-12
Chang,6,2647,1994-12-12
Edberg,7,2471,1994-12-12
Berasategui,8,2470,1994-12-12
Stich,9,2380,1994-12-12
Martin,10,2307,1994-12-12
Sampras,1,5097,1994-12-19
Agassi,2,3249,1994-12-19
Becker,3,3237,1994-12-19
Bruguera,4,3007,1994-12-19
Ivanisevic,5,2936,1994-12-19
Chang,6,2647,1994-12-19
Edberg,7,2471,1994-12-19
Berasategui,8,2470,1994-12-19
Stich,9,2380,1994-12-19
Martin,10,2307,1994-12-19
Sampras,1,5097,1995-01-09
Agassi,2,3249,1995-01-09
Becker,3,3237,1995-01-09
Bruguera,4,3007,1995-01-09
Ivanisevic,5,2927,1995-01-09
Chang,6,2647,1995-01-09
Edberg,7,2504,1995-01-09
Berasategui,8,2470,1995-01-09
Stich,9,2423,1995-01-09
Martin,10,2307,1995-01-09
Sampras,1,4945,1995-01-16
Agassi,2,3249,1995-01-16
Becker,3,3237,1995-01-16
Bruguera,4,3007,1995-01-16
Ivanisevic,5,2927,1995-01-16
Chang,6,2548,1995-01-16
Edberg,7,2504,1995-01-16
Berasategui,8,2470,1995-01-16
Stich,9,2423,1995-01-16
Martin,10,2249,1995-01-16
Sampras,1,4725,1995-01-30
Agassi,2,3908,1995-01-30
Becker,3,3237,1995-01-30
Bruguera,4,3007,1995-01-30
Ivanisevic,5,2845,1995-01-30
Chang,6,2770,1995-01-30
Berasategui,7,2470,1995-01-30
Stich,8,2423,1995-01-30
Edberg,9,2277,1995-01-30
Kafelnikov,10,2139,1995-01-30
Sampras,1,4725,1995-02-06
Agassi,2,3908,1995-02-06
Becker,3,3216,1995-02-06
Bruguera,4,2873,1995-02-06
Ivanisevic,5,2845,1995-02-06
Chang,6,2709,1995-02-06
Berasategui,7,2470,1995-02-06
Stich,8,2395,1995-02-06
Edberg,9,2277,1995-02-06
Kafelnikov,10,2139,1995-02-06
Sampras,1,4725,1995-02-13
Agassi,2,4082,1995-02-13
Becker,3,3054,1995-02-13
Ivanisevic,4,2805,1995-02-13
Chang,5,2803,1995-02-13
Bruguera,6,2779,1995-02-13
Berasategui,7,2470,1995-02-13
Stich,8,2395,1995-02-13
Edberg,9,2277,1995-02-13
Kafelnikov,10,2139,1995-02-13
Sampras,1,4776,1995-02-20
Agassi,2,4082,1995-02-20
Becker,3,3033,1995-02-20
Bruguera,4,2619,1995-02-20
Ivanisevic,5,2595,1995-02-20
Chang,6,2537,1995-02-20
Berasategui,7,2473,1995-02-20
Kafelnikov,8,2460,1995-02-20
Stich,9,2341,1995-02-20
Ferreira,10,2070,1995-02-20
Sampras,1,4776,1995-02-27
Agassi,2,4017,1995-02-27
Becker,3,3251,1995-02-27
Chang,4,2697,1995-02-27
Bruguera,5,2619,1995-02-27
Ivanisevic,6,2500,1995-02-27
Kafelnikov,7,2491,1995-02-27
Berasategui,8,2488,1995-02-27
Stich,9,2467,1995-02-27
Krajicek,10,2045,1995-02-27
Sampras,1,4389,1995-03-06
Agassi,2,4017,1995-03-06
Becker,3,3251,1995-03-06
Chang,4,2697,1995-03-06
Bruguera,5,2619,1995-03-06
Ivanisevic,6,2500,1995-03-06
Berasategui,7,2488,1995-03-06
Stich,8,2467,1995-03-06
Kafelnikov,9,2434,1995-03-06
Krajicek,10,2239,1995-03-06
Sampras,1,4780,1995-03-13
Agassi,2,4310,1995-03-13
Becker,3,3410,1995-03-13
Chang,4,2697,1995-03-13
Bruguera,5,2619,1995-03-13
Ivanisevic,6,2500,1995-03-13
Berasategui,7,2488,1995-03-13
Stich,8,2467,1995-03-13
Kafelnikov,9,2434,1995-03-13
Krajicek,10,2239,1995-03-13
Sampras,1,4684,1995-03-27
Agassi,2,4457,1995-03-27
Becker,3,3410,1995-03-27
Chang,4,2697,1995-03-27
Bruguera,5,2619,1995-03-27
Kafelnikov,6,2538,1995-03-27
Berasategui,7,2488,1995-03-27
Stich,8,2467,1995-03-27
Ivanisevic,9,2394,1995-03-27
Krajicek,10,2239,1995-03-27
Sampras,1,4534,1995-04-03
Agassi,2,4403,1995-04-03
Becker,3,3410,1995-04-03
Chang,4,2697,1995-04-03
Bruguera,5,2598,1995-04-03
Kafelnikov,6,2538,1995-04-03
Berasategui,7,2479,1995-04-03
Stich,8,2467,1995-04-03
Ivanisevic,9,2394,1995-04-03
Krajicek,10,2239,1995-04-03
Agassi,1,4403,1995-04-10
Sampras,2,4216,1995-04-10
Becker,3,3274,1995-04-10
Bruguera,4,2556,1995-04-10
Kafelnikov,5,2538,1995-04-10
Chang,6,2519,1995-04-10
Berasategui,7,2479,1995-04-10
Stich,8,2467,1995-04-10
Ivanisevic,9,2394,1995-04-10
Ferreira,10,2030,1995-04-10
Agassi,1,4603,1995-04-17
Sampras,2,4216,1995-04-17
Becker,3,3274,1995-04-17
Kafelnikov,4,2590,1995-04-17
Ivanisevic,5,2557,1995-04-17
Bruguera,6,2556,1995-04-17
Stich,7,2467,1995-04-17
Chang,8,2464,1995-04-17
Berasategui,9,2304,1995-04-17
Larsson,10,2126,1995-04-17
Agassi,1,4603,1995-04-24
Sampras,2,4216,1995-04-24
Becker,3,3274,1995-04-24
Chang,4,2607,1995-04-24
Kafelnikov,5,2521,1995-04-24
Stich,6,2467,1995-04-24
Ivanisevic,7,2446,1995-04-24
Berasategui,8,2281,1995-04-24
Bruguera,9,2211,1995-04-24
Larsson,10,2126,1995-04-24
Agassi,1,4597,1995-05-01
Sampras,2,4216,1995-05-01
Becker,3,3612,1995-05-01
Ivanisevic,4,2638,1995-05-01
Kafelnikov,5,2521,1995-05-01
Chang,6,2464,1995-05-01
Berasategui,7,2285,1995-05-01
Stich,8,2266,1995-05-01
Muster,9,2227,1995-05-01
Bruguera,10,2127,1995-05-01
Agassi,1,4705,1995-05-08
Sampras,2,4216,1995-05-08
Becker,3,3612,1995-05-08
Chang,4,2639,1995-05-08
Ivanisevic,5,2638,1995-05-08
Ferreira,6,2289,1995-05-08
Berasategui,7,2285,1995-05-08
Stich,8,2238,1995-05-08
Kafelnikov,9,2230,1995-05-08
Muster,10,2227,1995-05-08
Agassi,1,4705,1995-05-15
Sampras,2,3965,1995-05-15
Becker,3,3265,1995-05-15
Ivanisevic,4,2728,1995-05-15
Chang,5,2639,1995-05-15
Ferreira,6,2349,1995-05-15
Bruguera,7,2328,1995-05-15
Berasategui,8,2285,1995-05-15
Kafelnikov,9,2230,1995-05-15
Muster,10,2227,1995-05-15
Agassi,1,4705,1995-05-22
Sampras,2,3965,1995-05-22
Becker,3,3265,1995-05-22
Ivanisevic,4,2921,1995-05-22
Muster,5,2675,1995-05-22
Chang,6,2669,1995-05-22
Bruguera,7,2663,1995-05-22
Ferreira,8,2511,1995-05-22
Kafelnikov,9,2230,1995-05-22
Larsson,10,2222,1995-05-22
Agassi,1,4705,1995-05-29
Sampras,2,3965,1995-05-29
Becker,3,3265,1995-05-29
Ivanisevic,4,2921,1995-05-29
Muster,5,2675,1995-05-29
Chang,6,2669,1995-05-29
Bruguera,7,2663,1995-05-29
Ferreira,8,2511,1995-05-29
Kafelnikov,9,2230,1995-05-29
Larsson,10,2222,1995-05-29
Agassi,1,4779,1995-06-12
Sampras,2,3651,1995-06-12
Muster,3,3402,1995-06-12
Becker,4,3314,1995-06-12
Chang,5,3134,1995-06-12
Ivanisevic,6,2736,1995-06-12
Kafelnikov,7,2521,1995-06-12
Ferreira,8,2511,1995-06-12
Stich,9,2233,1995-06-12
Bruguera,10,2218,1995-06-12
Agassi,1,4779,1995-06-19
Sampras,2,3873,1995-06-19
Becker,3,3387,1995-06-19
Muster,4,3294,1995-06-19
Chang,5,3134,1995-06-19
Ivanisevic,6,2786,1995-06-19
Kafelnikov,7,2468,1995-06-19
Ferreira,8,2434,1995-06-19
Bruguera,9,2218,1995-06-19
Stich,10,2056,1995-06-19
Agassi,1,4779,1995-06-26
Sampras,2,3873,1995-06-26
Muster,3,3401,1995-06-26
Becker,4,3387,1995-06-26
Chang,5,3134,1995-06-26
Ivanisevic,6,2786,1995-06-26
Kafelnikov,7,2468,1995-06-26
Ferreira,8,2434,1995-06-26
Bruguera,9,2218,1995-06-26
Stich,10,2187,1995-06-26
Agassi,1,4980,1995-07-10
Sampras,2,3834,1995-07-10
Becker,3,3598,1995-07-10
Muster,4,3401,1995-07-10
Chang,5,3025,1995-07-10
Ivanisevic,6,2621,1995-07-10
Kafelnikov,7,2516,1995-07-10
Ferreira,8,2377,1995-07-10
Stich,9,2187,1995-07-10
Rosset,10,1981,1995-07-10
Agassi,1,4980,1995-07-17
Sampras,2,3834,1995-07-17
Becker,3,3598,1995-07-17
Muster,4,3401,1995-07-17
Chang,5,3025,1995-07-17
Kafelnikov,6,2676,1995-07-17
Ivanisevic,7,2621,1995-07-17
Ferreira,8,2377,1995-07-17
Stich,9,2187,1995-07-17
Rosset,10,2069,1995-07-17
Agassi,1,5176,1995-07-24
Sampras,2,3834,1995-07-24
Muster,3,3667,1995-07-24
Becker,4,3598,1995-07-24
Chang,5,3025,1995-07-24
Kafelnikov,6,2676,1995-07-24
Ivanisevic,7,2621,1995-07-24
Ferreira,8,2377,1995-07-24
Stich,9,2166,1995-07-24
Bruguera,10,2155,1995-07-24
Agassi,1,5161,1995-07-31
Sampras,2,4145,1995-07-31
Muster,3,3667,1995-07-31
Becker,4,3598,1995-07-31
Chang,5,3064,1995-07-31
Kafelnikov,6,2676,1995-07-31
Ivanisevic,7,2660,1995-07-31
Ferreira,8,2252,1995-07-31
Stich,9,2232,1995-07-31
Bruguera,10,2123,1995-07-31
Agassi,1,5161,1995-08-07
Sampras,2,4145,1995-08-07
Muster,3,3736,1995-08-07
Becker,4,3450,1995-08-07
Chang,5,3064,1995-08-07
Kafelnikov,6,2676,1995-08-07
Ivanisevic,7,2559,1995-08-07
Stich,8,2381,1995-08-07
Ferreira,9,2252,1995-08-07
Rosset,10,2068,1995-08-07
Agassi,1,5465,1995-08-14
Sampras,2,4223,1995-08-14
Muster,3,3842,1995-08-14
Becker,4,3415,1995-08-14
Chang,5,2951,1995-08-14
Kafelnikov,6,2676,1995-08-14
Ivanisevic,7,2616,1995-08-14
Stich,8,2433,1995-08-14
Ferreira,9,2253,1995-08-14
Rosset,10,2068,1995-08-14
Agassi,1,5652,1995-08-21
Sampras,2,4299,1995-08-21
Muster,3,3842,1995-08-21
Becker,4,3114,1995-08-21
Chang,5,2951,1995-08-21
Ivanisevic,6,2719,1995-08-21
Kafelnikov,7,2689,1995-08-21
Stich,8,2335,1995-08-21
Enqvist,9,2079,1995-08-21
Ferreira,10,1967,1995-08-21
Agassi,1,5652,1995-08-28
Sampras,2,4299,1995-08-28
Muster,3,3965,1995-08-28
Becker,4,3114,1995-08-28
Chang,5,2951,1995-08-28
Ivanisevic,6,2719,1995-08-28
Kafelnikov,7,2689,1995-08-28
Stich,8,2335,1995-08-28
Enqvist,9,2079,1995-08-28
Ferreira,10,1967,1995-08-28
Agassi,1,5400,1995-09-11
Sampras,2,4959,1995-09-11
Muster,3,3866,1995-09-11
Becker,4,3420,1995-09-11
Chang,5,3015,1995-09-11
Ivanisevic,6,2719,1995-09-11
Kafelnikov,7,2670,1995-09-11
Enqvist,8,2073,1995-09-11
Rosset,9,1984,1995-09-11
Ferreira,10,1967,1995-09-11
Agassi,1,5400,1995-09-18
Sampras,2,4959,1995-09-18
Muster,3,4072,1995-09-18
Becker,4,3420,1995-09-18
Chang,5,3015,1995-09-18
Kafelnikov,6,2670,1995-09-18
Ivanisevic,7,2608,1995-09-18
Enqvist,8,2073,1995-09-18
Courier,9,1964,1995-09-18
Bruguera,10,1953,1995-09-18
Agassi,1,5400,1995-09-25
Sampras,2,4959,1995-09-25
Muster,3,4072,1995-09-25
Becker,4,3420,1995-09-25
Chang,5,3015,1995-09-25
Kafelnikov,6,2670,1995-09-25
Ivanisevic,7,2608,1995-09-25
Enqvist,8,2073,1995-09-25
Courier,9,1964,1995-09-25
Bruguera,10,1953,1995-09-25
Agassi,1,5400,1995-10-02
Sampras,2,4959,1995-10-02
Muster,3,4072,1995-10-02
Becker,4,3506,1995-10-02
Chang,5,3015,1995-10-02
Kafelnikov,6,2670,1995-10-02
Ivanisevic,7,2608,1995-10-02
Courier,8,2202,1995-10-02
Enqvist,9,2073,1995-10-02
Bruguera,10,1953,1995-10-02
Agassi,1,5400,1995-10-09
Sampras,2,4959,1995-10-09
Muster,3,4072,1995-10-09
Becker,4,3331,1995-10-09
Chang,5,3015,1995-10-09
Kafelnikov,6,2670,1995-10-09
Ivanisevic,7,2608,1995-10-09
Courier,8,2311,1995-10-09
Enqvist,9,2073,1995-10-09
Rosset,10,1964,1995-10-09
Agassi,1,5400,1995-10-16
Sampras,2,4959,1995-10-16
Muster,3,4072,1995-10-16
Becker,4,3331,1995-10-16
Chang,5,3078,1995-10-16
Kafelnikov,6,2670,1995-10-16
Courier,7,2311,1995-10-16
Ivanisevic,8,2281,1995-10-16
Enqvist,9,2073,1995-10-16
Rosset,10,1964,1995-10-16
Agassi,1,5279,1995-10-23
Sampras,2,4997,1995-10-23
Muster,3,4131,1995-10-23
Becker,4,3331,1995-10-23
Chang,5,3095,1995-10-23
Kafelnikov,6,2673,1995-10-23
Ivanisevic,7,2241,1995-10-23
Courier,8,2167,1995-10-23
Enqvist,9,2073,1995-10-23
Bruguera,10,1959,1995-10-23
Agassi,1,5279,1995-10-30
Sampras,2,5048,1995-10-30
Muster,3,4474,1995-10-30
Chang,4,3095,1995-10-30
Becker,5,2879,1995-10-30
Kafelnikov,6,2519,1995-10-30
Courier,7,2222,1995-10-30
Enqvist,8,2139,1995-10-30
Ivanisevic,9,1964,1995-10-30
Bruguera,10,1956,1995-10-30
Sampras,1,5438,1995-11-06
Agassi,2,4867,1995-11-06
Muster,3,4474,1995-11-06
Becker,4,3135,1995-11-06
Chang,5,2980,1995-11-06
Kafelnikov,6,2519,1995-11-06
Courier,7,2443,1995-11-06
Enqvist,8,2139,1995-11-06
Ferreira,9,2049,1995-11-06
Ivanisevic,10,1861,1995-11-06
Sampras,1,4811,1995-11-13
Agassi,2,4765,1995-11-13
Muster,3,4474,1995-11-13
Chang,4,2980,1995-11-13
Becker,5,2746,1995-11-13
Kafelnikov,6,2560,1995-11-13
Courier,7,2461,1995-11-13
Enqvist,8,2348,1995-11-13
Ferreira,9,2049,1995-11-13
Ivanisevic,10,1861,1995-11-13
Sampras,1,4842,1995-11-20
Agassi,2,4765,1995-11-20
Muster,3,4474,1995-11-20
Becker,4,3325,1995-11-20
Chang,5,3211,1995-11-20
Kafelnikov,6,2560,1995-11-20
Enqvist,7,2505,1995-11-20
Courier,8,2471,1995-11-20
Ferreira,9,2144,1995-11-20
Ivanisevic,10,1861,1995-11-20
Sampras,1,4842,1995-11-27
Agassi,2,4765,1995-11-27
Muster,3,4474,1995-11-27
Becker,4,3325,1995-11-27
Chang,5,3211,1995-11-27
Kafelnikov,6,2560,1995-11-27
Enqvist,7,2505,1995-11-27
Courier,8,2471,1995-11-27
Ferreira,9,2144,1995-11-27
Ivanisevic,10,1861,1995-11-27
Sampras,1,4842,1995-12-04
Agassi,2,4765,1995-12-04
Muster,3,4474,1995-12-04
Becker,4,3325,1995-12-04
Chang,5,3211,1995-12-04
Kafelnikov,6,2560,1995-12-04
Enqvist,7,2505,1995-12-04
Courier,8,2471,1995-12-04
Ferreira,9,2144,1995-12-04
Ivanisevic,10,1861,1995-12-04
Sampras,1,4842,1995-12-18
Agassi,2,4765,1995-12-18
Muster,3,4474,1995-12-18
Becker,4,3325,1995-12-18
Chang,5,3211,1995-12-18
Kafelnikov,6,2560,1995-12-18
Enqvist,7,2505,1995-12-18
Courier,8,2471,1995-12-18
Ferreira,9,2144,1995-12-18
Ivanisevic,10,1861,1995-12-18
Sampras,1,4842,1996-01-08
Agassi,2,4765,1996-01-08
Muster,3,4474,1996-01-08
Becker,4,3325,1996-01-08
Chang,5,3211,1996-01-08
Kafelnikov,6,2660,1996-01-08
Enqvist,7,2505,1996-01-08
Courier,8,2339,1996-01-08
Ferreira,9,2144,1996-01-08
Ivanisevic,10,1861,1996-01-08
Sampras,1,4842,1996-01-15
Agassi,2,4765,1996-01-15
Muster,3,4474,1996-01-15
Becker,4,3325,1996-01-15
Chang,5,3211,1996-01-15
Kafelnikov,6,2660,1996-01-15
Enqvist,7,2352,1996-01-15
Courier,8,2339,1996-01-15
Ferreira,9,2144,1996-01-15
Ivanisevic,10,1999,1996-01-15
Agassi,1,4495,1996-01-29
Muster,2,4474,1996-01-29
Sampras,3,4465,1996-01-29
Becker,4,4297,1996-01-29
Chang,5,3592,1996-01-29
Kafelnikov,6,2709,1996-01-29
Enqvist,7,2519,1996-01-29
Courier,8,2400,1996-01-29
Ferreira,9,2144,1996-01-29
Ivanisevic,10,2027,1996-01-29
Agassi,1,4495,1996-02-05
Muster,2,4474,1996-02-05
Sampras,3,4465,1996-02-05
Becker,4,4297,1996-02-05
Chang,5,3592,1996-02-05
Kafelnikov,6,2709,1996-02-05
Enqvist,7,2519,1996-02-05
Courier,8,2400,1996-02-05
Ivanisevic,9,2174,1996-02-05
Ferreira,10,2144,1996-02-05
Muster,1,4474,1996-02-12
Sampras,2,4465,1996-02-12
Agassi,3,4379,1996-02-12
Becker,4,4145,1996-02-12
Chang,5,3537,1996-02-12
Kafelnikov,6,2709,1996-02-12
Enqvist,7,2519,1996-02-12
Courier,8,2369,1996-02-12
Ivanisevic,9,2174,1996-02-12
Ferreira,10,1939,1996-02-12
Sampras,1,4555,1996-02-19
Muster,2,4474,1996-02-19
Agassi,3,4452,1996-02-19
Becker,4,3970,1996-02-19
Chang,5,3537,1996-02-19
Enqvist,6,2529,1996-02-19
Kafelnikov,7,2393,1996-02-19
Courier,8,2369,1996-02-19
Ivanisevic,9,2339,1996-02-19
Ferreira,10,1968,1996-02-19
Sampras,1,4805,1996-02-26
Muster,2,4474,1996-02-26
Agassi,3,4432,1996-02-26
Becker,4,3881,1996-02-26
Chang,5,3470,1996-02-26
Ivanisevic,6,2567,1996-02-26
Courier,7,2369,1996-02-26
Kafelnikov,8,2368,1996-02-26
Enqvist,9,2233,1996-02-26
Ferreira,10,1965,1996-02-26
Sampras,1,4805,1996-03-04
Muster,2,4444,1996-03-04
Agassi,3,4432,1996-03-04
Becker,4,3881,1996-03-04
Chang,5,3470,1996-03-04
Ivanisevic,6,2829,1996-03-04
Courier,7,2471,1996-03-04
Kafelnikov,8,2409,1996-03-04
Enqvist,9,2233,1996-03-04
Ferreira,10,1965,1996-03-04
Muster,1,4470,1996-03-11
Sampras,2,4451,1996-03-11
Agassi,3,4151,1996-03-11
Becker,4,3698,1996-03-11
Chang,5,3470,1996-03-11
Ivanisevic,6,3020,1996-03-11
Kafelnikov,7,2505,1996-03-11
Courier,8,2471,1996-03-11
Enqvist,9,2209,1996-03-11
Ferreira,10,2072,1996-03-11
Muster,1,4470,1996-03-18
Sampras,2,4451,1996-03-18
Agassi,3,4210,1996-03-18
Chang,4,3862,1996-03-18
Becker,5,3698,1996-03-18
Ivanisevic,6,3144,1996-03-18
Kafelnikov,7,2505,1996-03-18
Courier,8,2487,1996-03-18
Enqvist,9,2209,1996-03-18
Ferreira,10,2167,1996-03-18
Muster,1,4470,1996-04-01
Sampras,2,4310,1996-04-01
Agassi,3,4194,1996-04-01
Chang,4,3863,1996-04-01
Becker,5,3698,1996-04-01
Ivanisevic,6,3444,1996-04-01
Courier,7,2525,1996-04-01
Kafelnikov,8,2456,1996-04-01
Enqvist,9,2182,1996-04-01
Ferreira,10,2122,1996-04-01
Muster,1,4382,1996-04-08
Sampras,2,4310,1996-04-08
Agassi,3,4194,1996-04-08
Chang,4,3863,1996-04-08
Becker,5,3698,1996-04-08
Ivanisevic,6,3444,1996-04-08
Courier,7,2525,1996-04-08
Kafelnikov,8,2456,1996-04-08
Enqvist,9,2182,1996-04-08
Ferreira,10,2122,1996-04-08
Sampras,1,4431,1996-04-15
Muster,2,4251,1996-04-15
Agassi,3,4006,1996-04-15
Chang,4,3875,1996-04-15
Becker,5,3698,1996-04-15
Ivanisevic,6,3377,1996-04-15
Kafelnikov,7,2416,1996-04-15
Enqvist,8,2298,1996-04-15
Courier,9,2188,1996-04-15
Ferreira,10,2031,1996-04-15
Sampras,1,4611,1996-04-22
Muster,2,4454,1996-04-22
Agassi,3,4006,1996-04-22
Chang,4,3786,1996-04-22
Becker,5,3698,1996-04-22
Ivanisevic,6,3377,1996-04-22
Enqvist,7,2334,1996-04-22
Kafelnikov,8,2321,1996-04-22
Courier,9,2241,1996-04-22
Ferreira,10,2025,1996-04-22
Sampras,1,4611,1996-04-29
Muster,2,4415,1996-04-29
Agassi,3,4013,1996-04-29
Chang,4,3786,1996-04-29
Becker,5,3402,1996-04-29
Ivanisevic,6,3256,1996-04-29
Enqvist,7,2334,1996-04-29
Kafelnikov,8,2321,1996-04-29
Courier,9,2241,1996-04-29
Ferreira,10,2025,1996-04-29
Sampras,1,4611,1996-05-06
Muster,2,4415,1996-05-06
Agassi,3,3917,1996-05-06
Chang,4,3645,1996-05-06
Becker,5,3489,1996-05-06
Ivanisevic,6,3256,1996-05-06
Kafelnikov,7,2446,1996-05-06
Enqvist,8,2334,1996-05-06
Courier,9,2241,1996-05-06
Ferreira,10,1830,1996-05-06
Sampras,1,4558,1996-05-13
Muster,2,4415,1996-05-13
Agassi,3,3830,1996-05-13
Chang,4,3645,1996-05-13
Becker,5,3490,1996-05-13
Ivanisevic,6,3012,1996-05-13
Kafelnikov,7,2566,1996-05-13
Courier,8,2241,1996-05-13
Enqvist,9,2183,1996-05-13
Rios,10,1974,1996-05-13
Sampras,1,4558,1996-05-20
Muster,2,4413,1996-05-20
Agassi,3,3830,1996-05-20
Chang,4,3627,1996-05-20
Becker,5,3490,1996-05-20
Ivanisevic,6,2882,1996-05-20
Kafelnikov,7,2566,1996-05-20
Courier,8,2241,1996-05-20
Enqvist,9,2216,1996-05-20
Rios,10,2072,1996-05-20
Sampras,1,4558,1996-05-27
Muster,2,4413,1996-05-27
Agassi,3,3830,1996-05-27
Chang,4,3627,1996-05-27
Becker,5,3490,1996-05-27
Ivanisevic,6,2882,1996-05-27
Kafelnikov,7,2566,1996-05-27
Courier,8,2241,1996-05-27
Enqvist,9,2216,1996-05-27
Rios,10,2079,1996-05-27
Sampras,1,4914,1996-06-10
Muster,2,3731,1996-06-10
Agassi,3,3685,1996-06-10
Becker,4,3480,1996-06-10
Kafelnikov,5,3179,1996-06-10
Chang,6,3162,1996-06-10
Ivanisevic,7,2930,1996-06-10
Courier,8,2373,1996-06-10
Enqvist,9,2222,1996-06-10
Rios,10,2184,1996-06-10
Sampras,1,4831,1996-06-17
Muster,2,3743,1996-06-17
Agassi,3,3685,1996-06-17
Becker,4,3608,1996-06-17
Kafelnikov,5,3179,1996-06-17
Chang,6,3162,1996-06-17
Ivanisevic,7,2930,1996-06-17
Courier,8,2373,1996-06-17
Enqvist,9,2216,1996-06-17
Rios,10,2184,1996-06-17
Sampras,1,4831,1996-06-24
Muster,2,3688,1996-06-24
Agassi,3,3685,1996-06-24
Becker,4,3608,1996-06-24
Kafelnikov,5,3280,1996-06-24
Chang,6,3162,1996-06-24
Ivanisevic,7,2930,1996-06-24
Courier,8,2373,1996-06-24
Enqvist,9,2216,1996-06-24
Rios,10,2184,1996-06-24
Sampras,1,4350,1996-07-08
Muster,2,3688,1996-07-08
Agassi,3,3377,1996-07-08
Kafelnikov,4,3194,1996-07-08
Becker,5,3162,1996-07-08
Chang,6,3162,1996-07-08
Ivanisevic,7,2753,1996-07-08
Krajicek,8,2588,1996-07-08
Courier,9,2373,1996-07-08
Enqvist,10,2216,1996-07-08
Sampras,1,4350,1996-07-15
Muster,2,3688,1996-07-15
Agassi,3,3377,1996-07-15
Becker,4,3162,1996-07-15
Chang,5,3162,1996-07-15
Kafelnikov,6,3062,1996-07-15
Ivanisevic,7,2753,1996-07-15
Krajicek,8,2588,1996-07-15
Courier,9,2373,1996-07-15
Enqvist,10,2216,1996-07-15
Sampras,1,4350,1996-07-22
Muster,2,3712,1996-07-22
Chang,3,3396,1996-07-22
Kafelnikov,4,3213,1996-07-22
Becker,5,3162,1996-07-22
Agassi,6,3098,1996-07-22
Ivanisevic,7,2753,1996-07-22
Krajicek,8,2588,1996-07-22
Courier,9,2373,1996-07-22
Enqvist,10,2216,1996-07-22
Sampras,1,4147,1996-07-29
Muster,2,3712,1996-07-29
Chang,3,3357,1996-07-29
Kafelnikov,4,3213,1996-07-29
Becker,5,3162,1996-07-29
Ivanisevic,6,2753,1996-07-29
Agassi,7,2690,1996-07-29
Krajicek,8,2588,1996-07-29
Courier,9,2373,1996-07-29
Ferreira,10,2184,1996-07-29
Sampras,1,4147,1996-08-05
Muster,2,3680,1996-08-05
Chang,3,3499,1996-08-05
Kafelnikov,4,3213,1996-08-05
Becker,5,3162,1996-08-05
Ivanisevic,6,2745,1996-08-05
Agassi,7,2690,1996-08-05
Krajicek,8,2668,1996-08-05
Courier,9,2373,1996-08-05
Ferreira,10,2184,1996-08-05
Sampras,1,4136,1996-08-12
Muster,2,3722,1996-08-12
Chang,3,3522,1996-08-12
Kafelnikov,4,3213,1996-08-12
Becker,5,3162,1996-08-12
Agassi,6,2751,1996-08-12
Ivanisevic,7,2746,1996-08-12
Krajicek,8,2668,1996-08-12
Courier,9,2337,1996-08-12
Ferreira,10,2275,1996-08-12
Sampras,1,4318,1996-08-19
Muster,2,3722,1996-08-19
Chang,3,3522,1996-08-19
Kafelnikov,4,3178,1996-08-19
Becker,5,3091,1996-08-19
Ivanisevic,6,2831,1996-08-19
Krajicek,7,2434,1996-08-19
Agassi,8,2399,1996-08-19
Courier,9,2337,1996-08-19
Ferreira,10,2334,1996-08-19
Sampras,1,4318,1996-08-26
Muster,2,3637,1996-08-26
Chang,3,3522,1996-08-26
Becker,4,3091,1996-08-26
Kafelnikov,5,3059,1996-08-26
Ivanisevic,6,2831,1996-08-26
Ferreira,7,2701,1996-08-26
Krajicek,8,2434,1996-08-26
Agassi,9,2399,1996-08-26
Courier,10,2337,1996-08-26
Sampras,1,3280,1996-09-02
Muster,2,2849,1996-09-02
Chang,3,2874,1996-09-02
Becker,4,2514,1996-09-02
Kafelnikov,5,2409,1996-09-02
Ivanisevic,6,2179,1996-09-02
Ferreira,7,2018,1996-09-02
Krajicek,8,1820,1996-09-02
Agassi,9,1812,1996-09-02
Courier,10,1796,1996-09-02
Sampras,1,4543,1996-09-09
Chang,2,4010,1996-09-09
Muster,3,3752,1996-09-09
Ivanisevic,4,3161,1996-09-09
Kafelnikov,5,3059,1996-09-09
Becker,6,2785,1996-09-09
Ferreira,7,2701,1996-09-09
Krajicek,8,2434,1996-09-09
Agassi,9,2292,1996-09-09
Rios,10,2108,1996-09-09
Sampras,1,4543,1996-09-16
Chang,2,4010,1996-09-16
Muster,3,3612,1996-09-16
Ivanisevic,4,3161,1996-09-16
Kafelnikov,5,3059,1996-09-16
Becker,6,2785,1996-09-16
Ferreira,7,2701,1996-09-16
Krajicek,8,2434,1996-09-16
Agassi,9,2292,1996-09-16
Rios,10,2101,1996-09-16
Sampras,1,4543,1996-09-23
Chang,2,4010,1996-09-23
Muster,3,3612,1996-09-23
Ivanisevic,4,3161,1996-09-23
Kafelnikov,5,3059,1996-09-23
Becker,6,2785,1996-09-23
Ferreira,7,2701,1996-09-23
Krajicek,8,2434,1996-09-23
Agassi,9,2292,1996-09-23
Rios,10,2101,1996-09-23
Sampras,1,4740,1996-09-30
Chang,2,4010,1996-09-30
